datetime,open,high,low,close,volume,quote_volume,trade_count,taker_buy_volume,taker_buy_quote_volume
2025-01-02 17:30:00,97084.41000000,97099.46000000,96325.44000000,96757.57000000,788.27988000,76155757.21739550,208491,366.39815000,35385899.98393170
2025-01-02 18:00:00,96757.57000000,97113.44000000,96400.00000000,96903.00000000,479.15018000,46389419.73963080,177115,264.65789000,25622916.11267870
2025-01-02 18:30:00,96902.99000000,97350.00000000,96634.61000000,97319.74000000,360.75442000,34998956.93340480,121071,200.36748000,19444300.54771500
2025-01-02 19:00:00,97319.74000000,97777.00000000,97212.81000000,97600.00000000,405.85314000,39582899.03919100,105507,211.56577000,20635346.26276500
2025-01-02 19:30:00,97600.00000000,97600.00000000,97200.00000000,97317.74000000,308.55651000,30052214.55080560,103173,122.38877000,11918283.59615740
2025-01-02 20:00:00,97317.74000000,97839.50000000,97317.74000000,97600.00000000,341.71440000,33379930.12355480,99215,171.42821000,16744709.31952720
2025-01-02 20:30:00,97600.01000000,97728.93000000,97300.00000000,97306.46000000,377.13240000,36764940.63094410,119673,178.15873000,17368009.11730580
2025-01-02 21:00:00,97306.46000000,97355.77000000,97060.52000000,97124.48000000,216.47964000,21044432.57784880,42347,81.41787000,7915103.94661530
2025-01-02 21:30:00,97124.48000000,97265.28000000,97040.16000000,97212.68000000,177.66763000,17266033.51135360,38773,99.04094000,9625055.43307520
2025-01-02 22:00:00,97212.69000000,97212.69000000,96666.66000000,96882.80000000,272.84023000,26442380.87158920,58669,117.18569000,11353658.51512580
2025-01-02 22:30:00,96882.80000000,97042.26000000,96841.69000000,96911.04000000,145.94069000,14147554.11812570,37711,73.20536000,7095945.37374840
2025-01-02 23:00:00,96911.04000000,97022.76000000,96758.17000000,96973.53000000,278.22109000,26952677.41878290,54869,117.20333000,11356451.31259170
2025-01-02 23:30:00,96973.52000000,97077.78000000,96847.16000000,96984.79000000,163.56325000,15857236.64477450,31341,72.39388000,7019118.98173740
2025-01-03 00:00:00,96984.79000000,97080.96000000,96796.56000000,97025.92000000,188.41298000,18267309.88951320,47081,103.46435000,10031439.59642610
2025-01-03 00:30:00,97025.92000000,97068.14000000,96799.96000000,96825.82000000,126.59675000,12270218.74518200,33778,42.49718000,4119515.24549980
2025-01-03 01:00:00,96825.83000000,96907.13000000,96650.00000000,96907.12000000,188.29666000,18224588.68433020,58416,92.29969000,8933510.22364250
2025-01-03 01:30:00,96907.13000000,97000.00000000,96682.69000000,96985.47000000,154.06248000,14919272.81263830,39823,68.99958000,6681397.23732060
2025-01-03 02:00:00,96985.47000000,97342.44000000,96856.98000000,97259.00000000,221.42404000,21511231.07099380,54555,125.64409000,12206593.58154830
2025-01-03 02:30:00,97258.99000000,97262.19000000,96952.66000000,96966.85000000,167.21604000,16239062.14597640,40835,62.82448000,6100551.05090180
2025-01-03 03:00:00,96966.85000000,97084.25000000,96833.99000000,96941.88000000,158.04488000,15326454.91616090,25555,78.47147000,7609863.52814820
2025-01-03 03:30:00,96941.87000000,97090.91000000,96876.80000000,97062.30000000,97.70432000,9475603.70315480,24143,60.31445000,5849230.25026500
2025-01-03 04:00:00,97062.30000000,97066.18000000,96878.52000000,96920.26000000,122.48991000,11878107.47541090,26697,55.86290000,5417255.94119660
2025-01-03 04:30:00,96920.27000000,96962.56000000,96766.51000000,96813.41000000,143.03222000,13851904.23450440,24616,65.97332000,6388822.64380280
2025-01-03 05:00:00,96813.49000000,96860.48000000,96590.28000000,96678.76000000,189.01206000,18277911.65573220,36831,78.52307000,7593527.47731560
2025-01-03 05:30:00,96678.76000000,96813.77000000,96639.70000000,96765.34000000,127.45125000,12329696.81720830,20711,72.33959000,6997889.74919970
2025-01-03 06:00:00,96765.35000000,96918.56000000,96619.98000000,96668.00000000,197.25757000,19085155.91892950,27475,107.82663000,10432312.20117060
2025-01-03 06:30:00,96667.55000000,96739.67000000,96512.00000000,96539.49000000,185.14506000,17893048.63744690,25344,91.55221000,8848213.42760110
2025-01-03 07:00:00,96539.49000000,96645.83000000,96411.54000000,96452.07000000,219.93922000,21229934.74070660,38195,110.01018000,10620004.56760380
2025-01-03 07:30:00,96452.06000000,96472.94000000,96280.65000000,96304.00000000,326.93007000,31505888.87611400,37537,121.63854000,11721468.10207210
2025-01-03 08:00:00,96304.00000000,96529.84000000,96304.00000000,96479.75000000,200.88793000,19371813.61970000,23241,122.59709000,11822408.86358020
