datetime,open,high,low,close,volume,quote_volume,trade_count,taker_buy_volume,taker_buy_quote_volume
2025-01-02 10:57:00,2.39700000,2.39900000,2.39630000,2.39690000,91508.00000000,219411.42120000,565,63558.00000000,152409.82330000
2025-01-02 10:58:00,2.39690000,2.39820000,2.39550000,2.39720000,318894.00000000,764302.67020000,746,33278.00000000,79764.95780000
2025-01-02 10:59:00,2.39730000,2.39730000,2.39340000,2.39520000,86790.00000000,207845.00430000,612,49972.00000000,119657.98890000
2025-01-02 11:00:00,2.39520000,2.39560000,2.39290000,2.39330000,118787.00000000,284357.32420000,492,31534.00000000,75475.46230000
2025-01-02 11:01:00,2.39330000,2.39370000,2.38900000,2.39050000,199234.00000000,476273.26380000,989,56660.00000000,135414.56570000
2025-01-02 11:02:00,2.39040000,2.39050000,2.38750000,2.39030000,156294.00000000,373378.77590000,827,71088.00000000,169789.34730000
2025-01-02 11:03:00,2.39040000,2.39140000,2.38740000,2.38940000,109096.00000000,260587.93940000,680,47061.00000000,112405.92840000
2025-01-02 11:04:00,2.38940000,2.39040000,2.38780000,2.38850000,72097.00000000,172257.27060000,496,39691.00000000,94844.58350000
2025-01-02 11:05:00,2.38860000,2.39050000,2.38790000,2.39050000,38185.00000000,91237.08690000,397,19051.00000000,45521.25230000
2025-01-02 11:06:00,2.39040000,2.39610000,2.39040000,2.39600000,106209.00000000,254140.47900000,757,75429.00000000,180462.56940000
2025-01-02 11:07:00,2.39600000,2.39640000,2.39400000,2.39550000,38680.00000000,92644.21530000,528,18631.00000000,44623.07630000
2025-01-02 11:08:00,2.39540000,2.39930000,2.39540000,2.39870000,86704.00000000,207900.27400000,627,39720.00000000,95226.80960000
2025-01-02 11:09:00,2.39870000,2.39990000,2.39800000,2.39900000,139120.00000000,333748.14400000,922,45471.00000000,109082.49410000
2025-01-02 11:10:00,2.39890000,2.40140000,2.39820000,2.39990000,142309.00000000,341479.68800000,836,81423.00000000,195386.77700000
2025-01-02 11:11:00,2.40000000,2.40000000,2.39480000,2.39620000,44770.00000000,107333.53310000,567,14897.00000000,35714.64420000
2025-01-02 11:12:00,2.39610000,2.39610000,2.39250000,2.39260000,183411.00000000,439253.84890000,871,62330.00000000,149287.45770000
2025-01-02 11:13:00,2.39250000,2.39310000,2.39090000,2.39270000,152018.00000000,363606.48750000,834,59587.00000000,142508.67440000
2025-01-02 11:14:00,2.39270000,2.39680000,2.39270000,2.39680000,76598.00000000,183423.90920000,522,33212.00000000,79532.91720000
2025-01-02 11:15:00,2.39680000,2.39750000,2.39480000,2.39510000,71816.00000000,172054.50060000,423,18620.00000000,44607.44440000
2025-01-02 11:16:00,2.39510000,2.39910000,2.39420000,2.39890000,60979.00000000,146125.59170000,527,35993.00000000,86249.59560000
2025-01-02 11:17:00,2.39890000,2.39900000,2.39610000,2.39790000,91214.00000000,218729.78190000,623,29426.00000000,70561.78520000
2025-01-02 11:18:00,2.39790000,2.39850000,2.39650000,2.39760000,97370.00000000,233479.80650000,642,59991.00000000,143845.23390000
2025-01-02 11:19:00,2.39750000,2.39760000,2.39540000,2.39570000,92151.00000000,220799.08070000,355,24305.00000000,58226.17370000
2025-01-02 11:20:00,2.39570000,2.39590000,2.39360000,2.39550000,129337.00000000,309778.19420000,501,70278.00000000,168327.94980000
2025-01-02 11:21:00,2.39550000,2.39560000,2.39290000,2.39420000,28426.00000000,68050.00100000,379,10291.00000000,24635.94890000
2025-01-02 11:22:00,2.39420000,2.39790000,2.39420000,2.39770000,113038.00000000,270974.71290000,613,37291.00000000,89386.04790000
2025-01-02 11:23:00,2.39770000,2.39880000,2.39620000,2.39620000,505813.00000000,1212945.90160000,748,424317.00000000,1017521.70870000
2025-01-02 11:24:00,2.39620000,2.39680000,2.39480000,2.39670000,121471.00000000,290998.04620000,700,20539.00000000,49209.03170000
2025-01-02 11:25:00,2.39680000,2.39890000,2.39630000,2.39860000,109985.00000000,263680.39050000,466,57957.00000000,138951.54410000
2025-01-02 11:26:00,2.39870000,2.40080000,2.39870000,2.40000000,272001.00000000,652787.27330000,746,113884.00000000,273286.27990000
2025-01-02 11:27:00,2.40000000,2.40150000,2.39850000,2.40150000,94061.00000000,225741.02030000,469,57521.00000000,138062.91450000
2025-01-02 11:28:00,2.40150000,2.40400000,2.40140000,2.40200000,232918.00000000,559554.55400000,770,107371.00000000,257946.10330000
2025-01-02 11:29:00,2.40200000,2.40200000,2.39950000,2.40010000,135379.00000000,325055.30860000,531,31518.00000000,75667.41570000
