datetime,open,high,low,close,volume,quote_volume,trade_count,taker_buy_volume,taker_buy_quote_volume
2025-01-02 10:45:00,2.39750000,2.39750000,2.39060000,2.39480000,557730.00000000,1335314.91800000,3499,239829.00000000,574210.89890000
2025-01-02 10:50:00,2.39490000,2.40160000,2.39360000,2.39970000,1138921.00000000,2732690.23130000,4213,761789.00000000,1827910.79800000
2025-01-02 10:55:00,2.39960000,2.40000000,2.39340000,2.39520000,653287.00000000,1565922.63090000,2955,224146.00000000,537321.59240000
2025-01-02 11:00:00,2.39520000,2.39560000,2.38740000,2.38850000,655508.00000000,1566854.57390000,3484,246034.00000000,587929.88720000
2025-01-02 11:05:00,2.38860000,2.39990000,2.38790000,2.39900000,408898.00000000,979670.19920000,3231,198302.00000000,474916.20170000
2025-01-02 11:10:00,2.39890000,2.40140000,2.39090000,2.39680000,599106.00000000,1435097.46670000,3630,251449.00000000,602430.47050000
2025-01-02 11:15:00,2.39680000,2.39910000,2.39420000,2.39570000,413530.00000000,991188.76140000,2570,168335.00000000,403490.23280000
2025-01-02 11:20:00,2.39570000,2.39880000,2.39290000,2.39670000,898085.00000000,2152746.85590000,2941,562716.00000000,1349080.68700000
2025-01-02 11:25:00,2.39680000,2.40400000,2.39630000,2.40010000,844344.00000000,2026818.54670000,2982,368251.00000000,883914.25750000
2025-01-02 11:30:00,2.40010000,2.40020000,2.39510000,2.39890000,441482.00000000,1058534.02460000,2970,221625.00000000,531355.54740000
2025-01-02 11:35:00,2.39880000,2.40780000,2.39880000,2.40690000,1670354.00000000,4016009.30480000,5224,861614.00000000,2071244.42620000
2025-01-02 11:40:00,2.40690000,2.41180000,2.40370000,2.40940000,1745518.00000000,4205396.05010000,4998,1338037.00000000,3224027.60570000
2025-01-02 11:45:00,2.40930000,2.41680000,2.40760000,2.41120000,1050718.00000000,2534999.86080000,5196,511161.00000000,1233292.64370000
